formula,mpid,spacegroup.symbol,nature of band gap
MgSiO3,mp-657338,Pbca,1
KNO3,mp-672644,Pnma,1
LiNbO3,mp-674361,P1,0
MnFeO3,mp-674482,Ibca,1
LiNbO3,mp-675069,P1,1
KNO3,mp-675625,P1,0
KPO3,mp-675976,P-1,1
LiNbO3,mp-676694,P1,0
KNO3,mp-676851,R32,0
LiNbO3,mp-686057,P1,0
MnCO3,mp-690525,Cc,0
MnSnO3,mp-691106,R3c,1
KNO3,mp-6920,R3m,1
KSbO3,mp-695836,P-1,0
LaAlO3,mp-696871,P1,0
KNbO3,mp-7375,R3m,0
LaBO3,mp-7492,P2_1/m,0
MgFeO3,mp-752416,C2/c,0
LiFeO3,mp-752521,C2/c,0
LiSbO3,mp-752636,P2_13,0
LiFeO3,mp-752790,C2/m,0
LaErO3,mp-7538,Pnma,0
LiVO3,mp-754098,C2/m,0
MnZnO3,mp-754318,R-3,1
LiTaO3,mp-754345,P4/mbm,0
LuAlO3,mp-754435,R-3c,1
LuTlO3,mp-754597,Pnma,1
NClO3,mp-754712,P2_12_12_1,0
LaBiO3,mp-755003,R-3,0
LiTeO3,mp-755231,Pnn2,0
LuGaO3,mp-755342,P6_3/mmc,0
LuAlO3,mp-755358,P6_3/mmc,0
LuCrO3,mp-755471,Pnma,0
LiNbO3,mp-755559,C2/m,0
LuAlO3,mp-755574,Pnma,1
LuVO3,mp-755583,Pnma,0
MgCoO3,mp-755711,C2/c,0
LuGaO3,mp-755792,Pnma,1
LuBO3,mp-7560,R-3c,0
LaHoO3,mp-756166,Pnma,0
LaDyO3,mp-756272,Pna2_1,0
LuAlO3,mp-756850,Cmcm,1
LiSbO3,mp-756951,C2/m,0
LuBO3,mp-760461,Cmcm,0
LiNbO3,mp-760701,C2/c,0
LiFeO3,mp-760833,Cm,0
LiVO3,mp-763200,C2,0
LaBiO3,mp-768310,R3c,0
LaAlO3,mp-768417,P-1,0
LuGaO3,mp-768505,P6_3cm,0
LaAlO3,mp-768518,Cmcm,0
MgSO3,mp-769322,P2_1/c,1
MgSO3,mp-769347,P2_1/c,0
MgSnO3,mp-769348,Pnma,0
MgSO3,mp-769397,R-3,0
LaHoO3,mp-770413,P2_1/c,1
MgMnO3,mp-770581,Pnma,0
MgMnO3,mp-770618,R-3,0
LiSbO3,mp-770932,C2/m,0
LaAlO3,mp-771698,P2_1/c,0
LaAlO3,mp-771703,P-1,1
LuScO3,mp-772180,P6_3cm,1
MgSiO3,mp-772412,I4_1/a,0
MnZnO3,mp-772528,Pnma,0
LuBiO3,mp-772801,R-3,1
LiNbO3,mp-776108,Pbcm,0
LuScO3,mp-776593,Pnma,1
LaSmO3,mp-778450,Pna2_1,0
LaAlO3,mp-780421,P-1,0
LiNO3,mp-8180,R-3c,0
LaBO3,mp-8216,Pnma,0
KNbO3,mp-935811,Pm-3m,0
KNO3,mp-9475,Pnma,0
LiAsO3,mp-9657,R-3,0
RbNbO3,mp-1075911,Pm-3m,0
RbTaO3,mp-1076534,Pm-3m,0
RbVO3,mp-1076638,Pm-3m,0
NaNbO3,mp-1078295,R-3,0
RbSeO3,mp-1078830,P-1,0
SnPO3,mp-1095139,Cc,0
SmFeO3,mp-1099588,Pm-3m,0
NaVO3,mp-1099591,Pm-3m,0
ScBiO3,mp-1101383,R-3,1
SnGeO3,mp-1101394,R-3,0
PbCO3,mp-1105697,P2_1/c,0
NaNbO3,mp-1105765,Pnma,0
SmCrO3,mp-1105788,Pnma,0
ScMnO3,mp-1105811,P2_1/c,0
PrCrO3,mp-1105822,Pnma,1
RbUO3,mp-11775,Pm-3m,0
PNO3,mp-1179819,P2_12_12_1,0
NaSeO3,mp-1180453,C2/c,0
NdInO3,mp-1186316,Pm-3m,0
PmErO3,mp-1186557,Pm-3m,1
PmInO3,mp-1186597,Pm-3m,0
ScCoO3,mp-1186980,Pm-3m,0
SmAlO3,mp-1187025,Pnma,0
SmVO3,mp-1188225,Pnma,1
ScRhO3,mp-1188449,Pnma,0
NaNbO3,mp-1190015,Pmn2_1,1
NaNbO3,mp-1199037,P222_1,1
NbAgO3,mp-1205362,Cmcm,0
RbPaO3,mp-1206844,Pm-3m,0
PrVO3,mp-1209329,Pnma,1
SrCO3,mp-1218370,R32,0
NbAgO3,mp-1220387,P4/mbm,1
NaNO3,mp-1220986,R32,0
NbAgO3,mp-12725,Pm-3m,0
SrHfO3,mp-13108,P4mm,0
SrHfO3,mp-13109,Imma,0
NdBO3,mp-13514,P-1,0
RbNO3,mp-13658,Pmmn,0
NdAlO3,mp-14254,Pm-3m,0
NbCuO3,mp-17272,C2/m,0
SrGeO3,mp-17464,C2/c,0
ScCrO3,mp-18961,Pnma,0
SrMnO3,mp-19001,P6_3/mmc,0
RbVO3,mp-19031,Pbcm,0
NaVO3,mp-19083,C2/c,0
NiCO3,mp-19147,R-3c,0
NdCrO3,mp-19269,Pnma,1
PbCO3,mp-19893,Pnma,1
NaSbO3,mp-20011,Fd-3m,0
SmCoO3,mp-20016,Pnma,0
PrCoO3,mp-20090,Pnma,0
SmFeO3,mp-20243,Pnma,1
NdFeO3,mp-20407,Pnma,0
SrPbO3,mp-20489,Pnma,0
PbSO3,mp-20507,Pnma,0
PbSeO3,mp-20716,P2_1/m,0
NdMnO3,mp-20852,Pnma,1
PbSO3,mp-21190,P2_1/m,1
PrLuO3,mp-21872,Pnma,1
SmMnO3,mp-22203,Pnma,0
NaSbO3,mp-22212,Pnma,1
PrFeO3,mp-22341,Pnma,0
SrCeO3,mp-22428,Pnma,1
PrMnO3,mp-22564,Pnma,0
NdCoO3,mp-22599,Pnma,0
NaIO3,mp-22989,Pnma,0
RbClO3,mp-23011,R3m,1
RbIO3,mp-27193,R3m,1
SbAsO3,mp-28109,P2_1/c,0
RbBrO3,mp-28872,R3m,1
SrBiO3,mp-29164,P2_1/c,0
RbTaO3,mp-3033,C2/m,0
NdScO3,mp-31117,Pnma,1
SmScO3,mp-31118,Pnma,1
NaNbO3,mp-3136,Pm-3m,0
NdGaO3,mp-3196,Pnma,0
RbNbO3,mp-3283,P-1,0
SmRhO3,mp-3317,Pnma,1
SrCO3,mp-33746,C2/m,0
SrHfO3,mp-3378,Pnma,0
NbHO3,mp-33932,P1,0
RbSO3,mp-3404,P321,0
PrAlO3,mp-3466,R-3c,0
NaNbO3,mp-3671,Pbcm,1
SrHfO3,mp-3721,I4/mcm,0
SrCO3,mp-38035,R-3c,0
SrCO3,mp-3822,Pnma,0
RbNO3,mp-38220,R-3c,1
NaTaO3,mp-3858,Pnma,1
RbPO3,mp-4135,P2_1/c,1
NaTaO3,mp-4170,Pm-3m,0
NaNbO3,mp-4419,P4/mbm,0
